QR;ToolNummer;ToolName;Typ;Radius;Eckenradius;Spitzenwinkel;Eintauchwinkel;Schneiden;Schnittlaenge;Ausspann_Laenge;IST_Laenge;SOLL_Laenge;Steigung;Message1;Message2;Message3;Message4;Message5;Lage
120824143843;;;;;;;;;;;;;;;304305 10;;;;
120824131239;;;;;;;;;;;;;;;304316 16;;;;
120824150415;;;;;;;;;;;;;;;304328 20;;;;
120824145828;;;;;;;;;;;;;;;304328 16;;;;
120824122017;;;;;;;;;;;;;;;304272 20;;;;
120824151949;;;;;;;;;;;;;;;308172 6;;;;
120824151748;217;D6_ALU_MASTER_SCHLICHT;10;3;0;0;2.5;5;24;35.5;115.9;115;0;203204 6;308172 6;0;309880 63;HSK63;C32
120824130140;241;D6_ALU_DLC_UEBERLANG;10;3;0;0;2.5;3;10;42;123;125;0;202279 6;308172 6;0;309880 63;HSK63;C32
120824130905;;;;;;;;;;;;;;;308172 6;;;;
120824085954;740;D4.0_BOHRER_VHM_12XD;1;2;0;135;0;1;58;65;145;148;0;123306 4;308172 6;0;309880 63;HSK63;C32
080824160926;52;D5_SCHLICHT_LANG;10;2.5;0;0;2.5;3;18;24;108.5;107;0;202394 5;308172 6;0;309880 63;HSK63;C32
090824105535;71;D6_SCHLICHT_UEBERLANG;10;3;0;0;2.5;4;13.5;42;131;125;0;203038 6;308172 6;0;309880 63;HSK63;C32
120824070023;141;D6_TPC_INGERSOLL_EDEL_KURZ;9;3;0;0;2.5;4;10;21;101;101;0;47C06010WERQ012;308172 6;0;309880 63;HSK63;C32
090824101616;54;D6_SCHLICHT_LANG;10;3;0;0;2.5;3;13.5;22.5;112.5;107;0;202394 6;308172 6;0;309880 63;HSK63;C32
120824065507;2141;D6_TPC_INGERSOLL_EDEL_KURZ;9;3;0;0;2.5;4;10;20;103.5;101;0;47C06010WERQ012;308172 6;0;309880 63;HSK63;C32
120824122857;;;;;;;;;;;;;;;308172 6;;;;
120824150630;;;;;;;;;;;;;;;308172 6;;;;
120824151145;;;;;;;;;;;;;;;308172 6;;;;
120824152126;;;;;;;;;;;;;;;308172 6;;;;
130824065142;588;M8_GEWINDEFRAESER_HORN;7;2.747;0;0;0;4;0.4;16;111;105;0;DCG.4.M8.125.5.2.08 AN25;308172 8;0;309880 63;HSK63;C32
130824064959;218;D8_ALU_MASTER_SCHLICHT;10;4;0;0;2.5;5;32;44;125;123;0;203204 8;308172 8;0;309880 63;HSK63;C32
120824154325;;;;;;;;;;;;;;;308172 8;;;;
120824155239;;;;;;;;;;;;;;;308172 8;;;;
120824150911;;;;;;;;;;;;;;;308172 8;;;;
120824124936;;;;;;;;;;;;;;;308172 8;;;;
090824105945;72;D8_SCHLICHT_UEBERLANG;10;4;0;0;2.5;4;22;62;143.5;145;0;203038 8;308172 8;0;309880 63;HSK63;C32
120824123622;242;D8_ALU_DLC_UEBERLANG;10;4;0;0;2.5;3;13;62;144.5;145;0;202279 8;308172 8;0;309880 63;HSK63;C32
090824101043;56;D8_SCHLICHT_LANG;10;4;0;0;2.5;3;18;26;109.4;113;0;202394 8;308172 8;0;309880 63;HSK63;C32
120824151607;219;D10_ALU_MASTER_SCHLICHT;10;5;0;0;2.5;5;40;53;138.5;137;0;203204 10;308172 10;0;309880 63;HSK63;C32
090824102150;58;D10_SCHLICHT_LANG;10;5;0;0;2.5;3;22.5;33;126.5;125;0;202394 10;308172 10;0;309880 63;HSK63;C32
090824110225;73;D10_SCHLICHT_UEBERLANG;10;5;0;0;2.5;4;22;58.5;148.5;145;0;203038 10;308172 10;0;309880 63;HSK63;C32
120824102845;;;;;;;;;;;;;;;308172 10;;;;
120824152308;243;D10_ALU_DLC_UEBERLANG;10;5;0;0;2.5;3;16;58;147.3;147;0;202279 10;308172 10;0;309880 63;HSK63;C32
120824155557;;;;;;;;;;;;;;;308172 10;;;;
120824154546;;;;;;;;;;;;;;;308172 10;;;;
120824155827;;;;;;;;;;;;;;;308172 10;;;;
120824153241;;;;;;;;;;;;;;;308172 10;;;;
090824102618;60;D12_SCHLICHT_LANG;10;6;0;0;2.5;3;31;44;138;137;0;202394 12;308172 12;0;309880 63;HSK63;C32
120824131045;;;;;;;;;;;;;;;308172 12;;;;
120824151346;;;;;;;;;;;;;;;308172 12;;;;
120824154003;340;D20X1_SCHEIBENFRAESER_ALESA;7;10;0;0;0;18;1;49;142;143;0;6317.0280;308172 12;6018.0476;309880 63;HSK63;
120824160019;220;D12_ALU_MASTER_SCHLICHT;10;6;0;0;2.5;5;48;63;153;150;0;203204 12;308172 12;0;309880 63;HSK63;C32
130824070020;244;D12_ALU_DLC_UEBERLANG;10;6;0;0;2.5;3;19;72;162.7;167;0;202279 12;308172 12;0;309880 63;HSK63;C32
130824070411;341;D32X1.5_SCHEIBENFRAESER_ALESA;7;16;0;0;0;14;1.5;51;145;;0;6317.0405;308172 12;6018.0476;309880 63;HSK63;
090824110506;74;D12_SCHLICHT_UEBERLANG;10;6;0;0;2.5;4;27;73;168.5;164;0;203038 12;308172 12;0;309880 63;HSK63;C32
080824150453;62;D16_SCHLICHT_LANG;10;8;0;0;2.5;3;47.5;58;158.3;154;0;202394 16;308172 16;0;309880 63;HSK63;C32
090824110840;75;D16_SCHLICHT_UEBERLANG;10;8;0;0;2.5;4;36;99;195.4;196;0;203038 16;308172 16;0;309880 63;HSK63;C32
120824155415;342;D50X1.5_SCHEIBENFRAESER_ALESA;7;25;0;0;0;14;1.5;61;159;153;0;6317.0574;308172 16;6018.0594;309880 63;HSK63;
120824154142;230;D16_ALU_SLOTMASCHINE;9;8;0;0;2.5;4;48;58;157.6;158;0;205267 16;308172 16;;309880 63;HSK63;
120824160155;245;D16_ALU_DLC_UEBERLANG;10;8;0;0;2.5;3;19;97;201.8;200;0;202274 16;308172 16;0;309880 63;HSK63;C32
130824070226;228;D16_ALU_DLC_LANG;10;8;0;0;2.5;3;65;86;181.1;180;0;202282 16;308172 16;0;309880 63;HSK63;C32
130824065342;221;D16_ALU_MASTER_SCHLICHT;10;8;0;0;2.5;5;48;61;156.8;172;0;203204 16;308172 16;0;309880 63;HSK63;C32
090824105131;64;D20_SCHLICHT_LANG;10;10;0;0;2.5;3;60;75;181.5;175;0;202394 20;308172 20;0;309880 63;HSK63;C32
120824082526;186;M8_GEWINDE_FORMER;2;4;0;0;0;1;34;34;149;148;0;139230 M8;338110 M1-M12;0;309880 63;HSK63;C32
120824112112;;;;;;;;;;;;;;;338110 M1-M12;;;;
120824082730;187;M10_GEWINDE_FORMER;2;5;0;0;0;1;36;36;165.5;158;0;139230 M10;338110 M1-M12;0;309880 63;HSK63;C32
130824070822;;;;;;;;;;;;;;;338110 M1-M12;;;;
130824070622;;;;;;;;;;;;;;;338110 M1-M12;;;;
120824082241;185;M6_GEWINDE_FORMER;2;3;0;0;0;1;29;29;141.5;140;0;139230 M6;338110 M1-M12;0;309880 63;HSK63;C32
120824081507;182;M3_GEWINDE_FORMER;2;1.5;0;0;0;1;14;14;131;129;0;139215 M3;338110 M1-M12;0;309880 63;HSK63;C32
120824082038;184;M5_GEWINDE_FORMER;2;2.5;0;0;0;1;23;23;131.5;130;0;139230 M5;338110 M1-M12;0;309880 63;HSK63;C32
120824081725;183;M4_GEWINDE_FORMER;2;2;0;0;0;1;18.5;18.5;131.5;130;0;139230 M4;338110 M1-M12;0;309880 63;HSK63;C32
120824103042;;;;;;;;;;;;;;;338110 M1-M12;;;;
120824131850;;;;;;;;;;;;;;;338110 M6-M20;;;;
120824082959;188;M12_GEWINDE_FORMER;2;6;0;0;0;1;42;42;195;193;0;139230 M12;338110 M6-M20;0;309880 63;HSK63;C32
130824072103;;;;;;;;;;;;;;;308318 6;;;;
130824072701;;;;;;;;;;;;;;;308318 6;;;;
120824121631;;;;;;;;;;;;;;;308318 6;;;;
130824072846;35;FASER_D8;1;4;0;90;0;6;4;37;157.6;135;0;208164 8;308318 8;0;309880 63;HSK633;C32
120824130320;;;;;;;;;;;;;;;308318 8;;;;
130824071745;36;FASER_D10;1;5;0;90;0;6;5;48;168.5;160;0;208164 10;308318 10;0;309880 63;HSK63;C32
130824072518;;;;;;;;;;;;;;;308318 10;;;;
120824125740;25;NC_ANBOHRER_D10_90GRD;1;5;0;90;0;2;5;39;159.7;140;0;121020 10;308318 10;0;309880 63;HSK63;C32
130824073021;30;NC_ANBOHRER_D12_142GRD;1;6;0;142;0;2;6;36;155.8;153;0;121070 12;308318 12;;309880 63;HSK63;
120824122202;312;KUGELFRAESER_ALU_D12;22;6;6;0;0;2;16;38;166;163;0;207032 12;308318 12;0;309880 63;HSK63;C32
120824130513;283;D12_R2_TORUS_STAHL;23;6;2;0;2.5;4;26;47.5;169;132;0;206357 12 2;308318 12;0;309880 63;HSK63;C32
120824083201;199;HSS_REIBAHLE_3H7;3;1.5;0;0;0;6;33;33;157.5;157;0;162900 3;304972 2-6;309563 3;309880 63;HSK63;C32
130824073716;207;D0.8_ALU_MICRO_DLC;10;0.4;0;0;1.5;2;1.5;4;138.5;138;0;201140 0.8X4;304972 2-6;309563 4;309880 63;HSK63;C32
120824123321;;;;;;;;;;;;;;;304972 2-6;;;;
120824123042;;;;;;;;;;;;;;;304972 2-6;;;;
120824120932;715;D1.5_BOHRER_VHM;1;0.75;0;135;0;1;8;10;140;0;0;121220 1;304972 2-6;0;309880 63;HSK63;C32
130824073529;33;FASER_D4;1;2;0;90;0;4;2;26;150;140;0;208105 4;304972 4;309563;309880 63;HSK63;C32
120824124216;;;;;;;;;;;;;;;304972 2-6;;;;
130824073214;321;KUGELFRAESER_STAHL_D1;22;0.5;0.5;0;0;2;2;4;150;141;0;207125 1;304972 2-6;309563 6;309880 63;HSK63;C32
130824074053;306;KUGELFRAESER_ALU_D3;22;1.5;1.5;0;0;4;7;27;151;145;0;207441 3;304972 2-6;309563 3;309880 63;HSK63;C32
130824073853;;;;;;;;;;;;;;;304973 2-6;;;;
120824104045;;;;;;;;;;;;;;;304973 2-6;;;;
120824122421;324;KUGELFRAESER_STAHL_D4;22;2;2;0;0;4;8;26;150;146;0;207477 4;304973 2-6;309563 4;309880 63;HSK63;C32
120824124041;;;;;;;;;;;;;;;304976 2-6;;;;
130824074241;;;;;;;;;;;;;;;304976 2-6;;;;
120824122630;720;D2.0_BOHRER_VHM;1;1;0;135;0;1;10;12;184;135;0;121220 2;304976 2-6;309563 3;309880 63;HSK63;C32
120824102602;710;D1.0_BOHRER_VHM;1;0.5;0;135;0;1;11;11;186;175;0;121220 1;304974 2-6;309563 3;309880 63;HSK63;C32
130824074557;198;D2.98_REIBAHLE_VHM;3;1.49;0;0;0;4;18;30;143;0;0;164362 2.98;305390 16;0;309880 63;HSK63;C32
120824121301;;;;;;;;;;;;;;;305390 16;;;;
130824074911;;;;;;;;;;;;;;;305390 25;;;;
080824143820;;;;;;;;;;;;;;;305390 32;;;;
120824121846;;;;;;;;;;;;;;;305390 32;;;;
120824121440;799;D25_WP_BOHRER;1;12.5;0.2;0;0;2;100;100;212;211;0;QR0250100JFR00;307005 25;;309880 63;HSK63;
090824095257;;;;;;;;;;;;;;;306562 16;;;;
090824095719;;;;;;;;;;;;;;;307042 M16X100;;;;
130824075537;;;;;;;;;;;;;;;308170 10;;;;
130824075348;;;;;;;;;;;;;;;239407;;;;
130824075059;;;;;;;;;;;;;;;308170 16;;;;
120824153505;;;;;;;;;;;;;;;308165 12;;;;
120824153045;;;;;;;;;;;;;;;308170 10;;;;
120824153817;1420;D20_ALU_MASTER_SCHLICHT_XL;10;10;0;0;2.5;5;100;138;213.5;205;0;203205 20;308165 20;;309880 63;HSK63;
130824075741;;;;;;;;;;;;;;;307044 M16X50;;;;
130824080023;;;;;;;;;;;;;;;307044 M16X50;;;;
130824080232;800;D35_WP_BOHRER;1;17.5;0.2;0;0;2;140;140;253;259;0;QR0350140JGR00;HSK 63-32-90;;309880 63;HSK63;
130824080435;;;;;;;;;;;;;;;4553281;;;;
120824100633;;;;;;;;;;;;;;;306530 22;;;;
130824080751;;;;;;;;;;;;;;;306530 16;;;;
130824080933;;;;;;;;;;;;;;;306530 27;;;;
130824081309;;;;;;;;;;;;;;;306575 22;;;;
130824081511;;;;;;;;;;;;;;;HSK 63-20-80;;;;
130824081117;;;;;;;;;;;;;;;306541 16;;;;
130824081734;;;;;;;;;;;;;;;306566 22;;;;
130824081959;;;;;;;;;;;;;;;HSKA63SM22SK084;;;;
130824082306;;;;;;;;;;;;;;;307005 20;;;;
130824083817;140;D16_SCHRUPP_TPC_BLAU;9;8;0;0;2.5;5;48;55;142.5;141;0;203019 16;304450 16;0;309880 63;HSK63;C32
130824083302;2146;D16_TPC_INGERSOLL_EDEL;9;8;0;0;2.5;4;42;54;138.5;142;0;47D16040W3RT100;304450 16;0;309880 63;HSK63;C32
130824084536;146;D16_TPC_INGERSOLL_EDEL;9;8;0;0;2.5;4;42;55;139.4;142;0;47D16040W3RT100;304450 16;0;309880 63;HSK63;C32
130824084035;;;;;;;;;;;;;;;304450 16;;;;
130824084311;148;D16_TPC_INGERSOLL_LILA;9;8;0;0;2.5;4;57;63;143.4;142;0;47C16055W3RD032;304450 16;0;309880 63;HSK63;C32
130824090340;;;;;;;;;;;;;;;304450 16;;;;
130824085834;138;D10_SCHRUPP_TPC_BLAU;9;5;0;0;2.5;5;30;36;110.5;111;0;203019 10;304450 10;0;309880 63;HSK63;C32
130824090109;;;;;;;;;;;;;;;304450 10;;;;
130824090637;2144;D10_TPC_INGERSOLL_EDEL;9;5;0;0;2.5;4;33;41;111.2;112;0;47D10033W1RT050;304450 10;0;309880 63;HSK63;C32
130824090915;144;D10_TPC_INGERSOLL_EDEL;9;5;0;0;2.5;4;33;44;114;112;0;47D10033W1RT050;304450 10;0;309880 63;HSK63;C32
130824085242;139;D12_SCHRUPP_TPC_BLAU;9;6;0;0;2.5;5;36;45;130;129;0;203019 12;304450 12;0;309880 63;HSK63;C32
130824085024;145;D12_TPC_INGERSOLL_EDEL;9;6;0;0;2.5;4;37;47;127.5;130;0;47D12037W2RT050;304450 12;0;309880 63;HSK63;C32
130824085513;2145;D12_TPC_INGERSOLL_EDEL;9;6;0;0;2.5;4;37;49;129;130;0;47D12037W2RT050;304450 12;0;309880 63;HSK63;C32
130824091953;2142;D6_TPC_INGERSOLL_EDEL;9;3;0;0;2.5;4;19;28;93;93;0;47D06019WERT020;304450 6;;309880 63;HSK63;
130824091600;142;D6_TPC_INGERSOLL_EDEL;9;3;0;0;2.5;4;19;28;93;93;0;47D06019WERT020;304450 6;0;309880 63;HSK63;C32
130824091750;;;;;;;;;;;;;;;304450 6;;;;
130824092155;123;D6_SCHRUPP_TPC_GRUEN;9;3.008;0;0;2.5;5;18;25.5;93.189;92;0;203094 6;304450 6;0;309880 63;HSK63;
130824091321;137;D8_SCHRUPP_TPC_BLAU;9;4;0;0;2.5;5;24.5;29.8;99.5;98;0;203019 8;304450 8;0;309880 63;HSK63;C32
130824092357;143;D8_TPC_INGERSOLL_EDEL;9;4;0;0;2.5;4;23;34;100;100;0;47D08023W0RT050;304450 8;0;309880 63;HSK63;C32
130824092618;2143;D8_TPC_INGERSOLL_EDEL;9;4;0;0;2.5;4;23;34;99.7;100;0;47D08023W0RT050;304450 8;0;309880 63;HSK63;C32
130824094922;;;;;;;;;;;;;;;308187 8;;;;
130824095150;;;;;;;;;;;;;;;308187 10;;;;
130824094731;;;;;;;;;;;;;;;308187 6;;;;
130824095337;;;;;;;;;;;;;;;308187 6;;;;
130824143057;111;D6_SCHRUPP_UEBERLANG;9;3;0;0;2.5;4;12.5;40;109.5;106;0;205718 6;304272 6;0;309880 63;HSK63;C32
130824161134;158;VHM_BOHRER_D13.5;1;6.75;0;135;0;1;67;72;196.3;202;0;122715 13.5;308192 14;0;309880 63;HSK63;C32
210824135249;1180;D8.5_PILOT_VHM_ALU;1;8.25;0;140;0;1;55;62;187.5;;0;122606 16;308192 10;;309880 63;HSK63;Configmachine
